iter	Passed	Remaining
0	1	144
1	2	134
2	4	130
3	5	125
4	6	127
5	8	132
6	9	132
7	11	131
8	12	128
9	14	126
10	15	125
11	16	124
12	18	122
13	19	122
14	21	121
15	22	118
16	23	116
17	25	116
18	26	114
19	28	113
20	29	111
21	31	109
22	32	109
23	34	109
24	36	108
25	37	106
26	39	105
27	40	104
28	42	103
29	43	102
30	45	101
31	47	100
32	49	99
33	50	98
34	52	97
35	54	96
36	56	95
37	57	94
38	59	93
39	61	91
40	62	90
41	63	87
42	65	86
43	66	84
44	68	83
45	70	82
46	71	81
47	73	79
48	75	78
49	76	76
50	78	75
51	79	73
52	81	72
53	83	70
54	84	69
55	85	67
56	87	66
57	89	64
58	90	63
59	92	61
60	94	60
61	95	58
62	97	57
63	99	55
64	101	54
65	102	52
66	104	51
67	106	50
68	108	48
69	109	47
70	111	45
71	113	44
72	115	42
73	116	41
74	118	39
75	120	38
76	122	36
77	123	34
78	125	33
79	127	31
80	128	30
81	130	28
82	132	27
83	133	25
84	135	23
85	137	22
86	138	20
87	140	19
88	142	17
89	144	16
90	145	14
91	147	12
92	149	11
93	151	9
94	152	8
95	154	6
96	155	4
97	157	3
98	159	1
99	161	0
